ABIRATERONE	2174974
DIPHENHYDRAMINE	3575327
DIPROPHYLLINE	3077339;3077322
DIPYRIDAMOLE	3432349;3225917;3082033
DISOPYRAMIDE	3298939;3298945;3246026;3093545
DISULFIRAME	3675081;3037469
DOMPERIDONE	5824875;3641768;3621725;3623687;3666455;3623670;2233286;3624899;3747780;3674503;3890767;4970959;3632166;3468577;3639501;3286422;3823334;2227127;5824881;3323614;2227386;2227044;2227185;3618031;2227104;2227162;3823239;3681911;3624882;3286416;5651788;3626378;3234112;3234098;2226300;3623517;3626881;2226323;3421676;2227245;5824987;3823280;3468519;3890715;2227222;3823392;3823452;3641780;3962395
DONEPEZIL	4993937;3899780;4935012;4198996;3814401;3870517;2204327;5818308;3444950;3899946;5815422;5811677;2165998;2196208;3893234;4199056;5819928;5823137;3818617;4936247;3985769;2196450;4900284;3892967;4934863;5818248;3985611;2182488;3444909;3893056;2165969;3899917;2196303;3899863;3730644;3730609;3870612;4936164;3890218;5811625;5818254;2182519;2204238;5819762;5815391;2196390;5815416;3893122;3890164;5815273
DOPAMINE	5618118
DOSULEPINE	3640154;3250097;3190886
DOXAZOSINE	3944641;3762578;4900924;4900539;4900249;4900551;3762561
DOXEPINE	3125972;3332926;3332932
DOXYCYCLINE	3642265;3617497;3396530;3533435;3249970;3559943;3766613;3562939;3617528;3766636;3617505;3474827;3443347;3396524;3558197;3443330;3558211;3396553;3558234;3242287;3559920;3559937;3443353;3454977;3533263;3533286;3613051;3533300;3454954;3454983;3454931;3613068;3613045;3561644
DOXYLAMINE	3675193;3953568;3489355;3675201;3698604
DRONEDARONE	3990167
DROSPIRENONE	4997272;4997289;3561696;4997303;4997208;3561704;2190341;3560567;3560550;3763980;2190358;3764005;4997214;3884057;3764459;3764198;2190370;3764181;4997295;3635029;3884040;2190329;3764442
DULOXETINE	3658651;3702375;3658645
DYDROGESTERONE	3526435;3566038;3438524;3219294
EBASTINE	3403537;3403566;3675916;2168991
ECONAZOLE	3831078;3362376;3672668;3746527;3675750;3202276;3741228;3656824;3773228;3773240;3524413;3672645;3513378;3302411;3614122;3400817;3614116;3517614;3773234;3831109;3614085;3185224;3524347;3517637;3342362;3484731;3386371;3659604;3831090;3775210;3672674;3202253;3386359;3513409;3400792;3517620;3221954;3693417;3769221;2227417;3357694;2215101;3513415;3672651;3688244;3800712;3986243;3386342;3800706;3831084;3400800;3672680;3793739;3429235;3671120;3513421;3362407;3614091;3672697;3680857
EFAVIRENZ	3517703;3830699;3599664;3585188
ELETRIPTAN	3578610;3578691;3578685
ELTROMBOPAG	3745864;3745893;3745887;3745858
ENALAPRIL	3879004;3679564;3739504;3720479;3859533;3550497;3540398;3636299;3302405;3549962;3664918;3609003;3672906;3731402;3859674;3664887;3626409;3601993;3617729;3730012;3873757;3664858;3601935;3847990;3614406;3882851;3713781;3614412;3731460;3731448;3731425;3617586;3864327;3270898;3617592;3729807;3608989;3765536;3729552;3765542;3739332;3550505;3739349;3878967;3729983;3859639;3270906;3674526;3729782;3724112;3550014;3674532;3873929;3879010;3703937;3703989;3570991;3680716;3664901;3664841;3592567;3739496;3703908;3592610;3768262;3864385;3703995
ENOXACINE	3308922
ENOXAPARINE	3646903;3342439;3646895;3294864;3646926;3646949;3646889;3343516;3646837;3343522;3360584;3646932;3646866;3646872;3360609;3646843;3360621
ENTACAPONE	3853884;3944196;3634538;3944256;3634627;3634573;3486523;3486517
EPIRUBICINE	5823752
EPLERENONE	3909946;3665740;3665734;3661736;3665705;3909811
EPROSARTAN	3563548;3720605
ERGOCALCIFEROL	3099855;3099832;3110870;3771488;3099826;3658496;3330057;3320892;3320538
ERGOTAMINE	3046787
ERLOTINIB	3692346;3692323;3692352
ERYTHROMYCINE	3242560;3339377;3249929;3242554;3256332;3202158;3368723;3249585;3302167;3205116;3357820;3223887;3357814
ESCITALOPRAM	3599397;3599411;5828100;3599374;3642897;3599351;3820459;5862114;5862143
ESCLICARBAZEPINE	3973499
ESLICARBAMAZEPINE	3973499
ESOMEPRAZOLE	4971918;2203434;3553320;3553337;2163338;4994612;2203374;2203428;4972088;2163344;2203380;3553343;4972065;4188845;2219754;2203397;3553314;4188822;2219748;2214685;2203629;2203724;4972071;4994629;2203730;2203747;4972131;2163367;2203635;4188934;3553389;4188816;4971775;2203606;4994658;3553395;4994598;4994641;4972154;2203776;4971924;4971901;2203598;4994635;2203753;4971781;4971841;4972119;3867308;4971835;4971769;2203782;4994693;4994351;4971887;4971858;4188957;4972102;2219777;4971953;4971812;4994687;2160819;4994670;4972148;4972183;4971947;2163491;4994664;4994339;4972177;4994345;4994606;5824042;2163545;4971870;4994701;2163479;4971806
ESTAZOLAM	3217906
ESTRADIOL	3547934;3523997;3297265;3585863;3409089;3566038;3585834;3409043;3566506;3487994;3391308;3655747;3524011;3423994;3396323;3438524;4190836;3585805;3409037;3424019;3466667;3584622;3409066;3566512;3511675;3382924;4190813;3523939;3523951;3595459;3584792;3314555;3526435;3523916;3396317;3409095;3168929;3409072;3635029;3523974;3643460;3583947;3254876;3595465;3424367;3254882;3585900;3578515;3909484;3360437;3344355;3578538;3576232;3909490;3578490;3189156;3189239;3189222;3446682;3461078;3553113;3456568;3675945;3381184;3461055;3461061;3381126
ESTRAMUSTINE	3238274;3229795
ESTRIOL	3296900;3296917;3295533;3412594;3382634;3461049;3154577
ETANERCEPT	3658622;3771910;3771956;3768411;3606499;3960522
ETHAMBUTOL	3069311;3116217
ETHINYLESTRADIOL	3641917;3305131;4919415;4997272;3304717;4997289;3794443;3304723;3910808;3305125;2217896;3918112;3764005;4919409;4997208;3918106;2217904;3773441;3773458;3305071;3759613;3384024;3910234;3619705;4911336;2201487;3972146;4911342;3693239;3773702;3619697;3586621;3759642;3759659;3305065;3763980;3561696;3759636;3695008;3099619;3884057;3715828;3715811;3693245;3764442;3567316;3561704;3917259;2190329;3515762;3773300;3666691;3630836;3746438;4997214;3666716;3641923;3899981;3515756;4997303;3773719;3972123;3847926;3602679;3254913;3794437;3392199;3567322;3586638;2190341;3630813;3759665;3759671;3392207;3884040;3759688;3280709;4997295;3436761;3759547;3773694;3759553;3515785;3385408;3773671;3847932;3793550;3436778;3450672;4945832;3750285;3759702;3586650;3746444;3099625;3759607;3537628;3184087;3450689;3695014;4919438;3305094;3807217;3972063;3759694;3588413;3788454;3537634;3392213;3764198;3759719;3605152;3764181;3602656;3586644;2201441;3385383;3899975;3794420;3305119;3589967;3807246;3788448;3773725;4919421;3515779;3759582;3296975;3337697;3589950;3305088;4919160;3972057;3935412;3770000;3588436;3296981;3773688;3773665;3254936;3807200;3560567;3589944;3773464;3935406;3589938;3392182;2190358;3764459;3773470;2190370;3254971;3794414;3746467;3605146;3184064;3254988;3182409;3517531;3793515;3305208;3773903;3305102;3280715;3182390;3305214;3807252;3560550;4945826;3773731;3746450
ETHOSUXIMIDE	3250795
ETHYLMORPHINE	3109654;3111869;3109660;3496823;3281057;3410721;3232366
ETIFOXINE	3228577
ETILEFRINE	3035022;3035016
ETODOLAC	3348057;3348040;3285204
ETONOGESTREL	3630836;3515443;3630813
ETOPOSIDE	3657597;5667602;3657580;5667594
ETORECOXIB	3879257;3879808
ETORICOXIB	3879257;3879808
ETRAVIRINE	3874260;2194669
EUCALYPTUS	3108790;3112679;3108778;3326759;3308655;3850495;3108809;3108761;3919962;3312438;3897025;3009728;3009711;3009734;3314207
EUGENOL	3458538;5002498;3163903;3675081
EVEROLIMUS	3962828;3641082;3962811;3641188;3641030;3641113;3641159
EXEMESTANE	4150937;4963095;4162768;4167777;4962635;2165478;4151931;4920559;4993185;4919013;3527966;4998099
EZETIMIBE	3917006;3696166;3622707;3909573;3909567;3622699;3696137;4900580;2800035
FAMOTIDINE	3424172;3627053;3551025;3627030;3597866
FAMPRIDINES	3471556
FEBUXOSTAT	3857250;3857244
FELODIPINE	3714409;3784841;3785970;3785987;3714361;3714384;3378851;3799529;3714421;3784870;3799541
FENOFIBRATE	3659610;3547727;3926933;3550876;3717796;3614599;3548632;3926904;3349950;3547733;3775256;3352716;3631994;3734895;3717885;3352722;3717810;3729405;3498609;3868992;3728392;3907338;3608920;3719743;3734599;3674555;3773323;3681897;3343031;3926583;3734671;3728446;3601680;3550830;3739740;3926554;3349878;3553739;3719720;3735653;3548626;3926778;3728127;3717804;3926844;3729411;3728475;3926749;3627567;3553745;3679570;3565263;3791628;3300300;3674549;3659739;3728044;3717856;3775233;3555075;3926815;3728357;3550787;3739071;3738396;3734636;3475123;3614582;3926436;3696410;3926666;3576019;3548595;3926488;3730271;3926399;3349973;3471444;3735682;3839602;3696427;3696433;3714898;3237642;3839571;3550758;3728073;3326357;3732577;3518329;3548649;5682636;3714881;3643750;3734814;3617356;3728162;3728311;3614613;3477719;3734748;3723495;3602142;3534920;3544048;3926695;3728280;3614607;3631988;3926330;3643767;3734843;3554874;3926301;3728831
FENOPROFENE	3198190
FENSPIRIDE	3192974;3137981
FENTANYL	3910429;3971201;3922160;3910576;3922071;3584349;3971193;3922088;3580736;3922148;4966633;3910487;3580630;3580682;3910441;3910518;3971187;3584384;3910458;3910435;3922094;3922102;3910470;3584421;3922125;3910493;4966662;3910464;3984646;3850897;3698515;3865284;3920072;3850874;3969925;3920066;3850489;3920209;3865232;3850957;3423853;3921373;3865172;3964170;3984451;3964098;3850934;3984362;3939054;3964135;3850851;3921350;3814950;3939232;3850911;3850986;3920043;3851023;3990339;5823746;3939114;3865048;3379922;3931495;3921344;3423830;3865108;5763257;3423876;3984534;3939189;3423847
FER	3032561;3000911;3291819;3358860;3571861;3571855;3422813;3352969;3041809;3107313;3870687;3868124;3006960;3570614;3868236;3869247;3118794;3351800;2193948;3039698;3041815
FEXOFENADINE	3829242;3828998;3829182;3829294;3828923;3829124;3454629;3454546;3454492;3454581
FIDAXOMICINE	5824036
FINGOLIMOD	4177876
FLAVOXATE	3263409
FLECAINIDE	3580564;3263622;3580587;3580529;3824434;3642526;3824150;3824316;3580541;3824581;3824859;3599977
FLOCTAFENINE	3188033
FLUCONAZOLE	3780760;3778266;3628130;3780725;3703498;3895575;3895629;3465917;3778160;3780688;3778409;3703469;3778415;3760220;3793716;5823367;3671634;3665220;3793745;3819321;3778361;3780694;3386827;3703245;5823255;3386796;3671657;3780731;3455758;3305510;3780702;3671775;3671781;3778243;3778131;5823261;3780719;5695662;3669910;3326587;3780978;3895598;3628176;3671686;3671723;3703050;3780961;3781446;3895492;3781452;3628087;3669873;5666092;3354709;3665237;3671798;3669962;3895612;3669979;3305533;3793685;3455741;3778384;3895523;3665214;3386773;3354715;3952669;3780300;3627188;3628101;3465900;3665266;3669933
FLUCYTOSINE	3179643
FLUDARABINE	3585337;3585320
FLUDROCORTISONE	3906066;3906043
FLUINDIONE	3118328;3118311;3348413
FLUNARIZINE	3282944
FLUNITRAZEPAM	3484607
FLUOR	3075145;3274241;3481069;3584993;3625640;3408948;3342089;3408954;3572493;3571849;3478050;3361678;3354224;3191199
FLUOROURACILE	5647462
FLUOXETINE	3477636;3688965;3838620;3642348;3581718;3510291;4914688;3832729;3582511;3645364;3986651;3540665;3485535;3562916;3623871;3548572;3360420;3913356;3771531;3563991;3674561;3450531;3310095;3838554;3870428;3793886;3631250;3645335;3804420;3632048;3838494;3658421;4940467;3588376;3806904;3611804;3581701;3590597;3765660
FLUPENTIXOL	3180965;3263496;3165552
FLUPHENAZINE	3068145;3121460;3121454
FLURBIPROFENE	3319908;5814664;3197109;3267672;3222675;3543600
FLUTAMIDE	3534280;3538763;3611572;3285150;3525401;3477754
FLUTICASONE	3565872;3545970;3545935;3547348;3547354;3367089;3393336;3393632;3393307;3565866;3367043;3367037;3565889;3367066
FLUVASTATINE	3923544;3923260;3835171;3874550;3723839;3199367;3879168;3938072;3923567;3723845;3879205;3937842;3941967;3720798;3959973;3867202;3835219;3923231;3554472;3723868;3943133;3986562;3972815;3942599;3938008;3198876;3943162;3986444;3986585;3942872;3942576;3960002;3941996;3834970;3961852;3923389;3720806;3723816;3723851;3961875;3986473;3986533;3923478;3923455;3972838;3874389;3950038;3949928;3834935;3943009;3998074;3950015;3720829;3554443;3719772;3998097;3959921;3949940;3874610;3720812;3923343;3986510;3942895;3554489;3874455;3879754;3720781;3554414;3395795;3947036;3986616;3554377;3937813;3554348;3723822;3943021;3720775;3959944;3554549;3938020
FLUVOXAMINE	3602426;3590516;3602633;3564683;3319831;3785036;3785042;3272911;3590427;3564708;3602627
FONDAPARINUX	3656474;3656534;3656528;3656505;3592254;3656497;3656557;3592260
FOSAMPRENAVIR	3640639;3640645
FOSINOPRIL	3971922;3857310;3882762;3867366;3882822;3947332;3900514;3869939;3900508;3958637;3884519;3882785;3882791;3884494;3957448;3857362;3719996;3945669;3720002;3718376;3867389;3895285;3860909;3798151;3718330;3900537;3878594;3945540;3947355;3900520;3957833;3896149;3972229;3895233;3463226;3972979;3867403;3972850;3463195;3957477;3720019;3720031;3720048;3720025
FROVATRIPTAN	3778295;3575540;3575534;3556169;3556175;3615647
FUROSEMIDE	3647699;3616954;3665473;3215356;3478386;4162662;3616931;3057331;3384538;3609888;3729581;3673691;3673716;3249237;3297578;3609925;3614524;3647676;3256013;3528138;3665504;3681905;3524436;3300091;3681963;3347520
GALANTAMINE	3553722;3675951;2201168;4186639;2201286;2197136;2201062;5817349;2201398;2201116;5820506;5820512;5820529;2201010;3675968;2211037;4186674;2200996;5820334;3675939;3553691;3570175;2201180;2201352;4186438;5817355;4187202;3553685;2197159;4187165;2210948;2211184;2197188
GEFITINIB	3959507
GEL D'HYDROXYDE D'ALUMINIUM ET DE CARBONATE DE MAGNE	3042855
GEL D'HYDROXYDE D'ALUMINIUM ET DE CARBONATE DE MAGNESIUM CODESSECHES	3042855
GEMFIBROZIL	3260635
GENTAMICINE	3043642;3043665;3043659;3269524;3223491
GLIBENCLAMIDE	3802421;3776557;3875176;3723928;3580162;3776563;3857764;3782687;3857741;3028105;3857770;3028097;3165026;3857758;3720060;3740708;3580251;3732146;3802467;3898266;3875294;3802510;3802303;3776534;3802332;3580222;3908272;3802378;3682098;3580280;3898094;3308170;3732117;3793834;3682081;3701625;3580334;3875331
GLIBORNURIDE	3131429
GLICLAZIDE	3541860;3856977;3773375;3510581;4972378;4973797;4914470;3532677;3856701;4972303;4972289;3582310;3856635;4914530;4914458;3532660;3510575;4900108;3856658;3722610;3563732;4973716;4973739;3856339;3525312;3532619;3856167;4900775;3490281;3541989;3674578;3857037;3784284;4914317;3129361;3674584;3728860;3541848;3490298;3752999;4914292;3532602;3856463;3614547;3752924;4900628;3856210;3856492;3904989;3542003;3525306;3532542;3856380;3856813;3614530;4900261;3905003;3129378;3856138;3856552;3856871;3722627;3856316;3856799;4189997;3681851;3681845;3532536;3382344;3525329;3752901;3382338;3381468;3525335
GLIMEPIRIDE	3826048;3826031;3748124;3749253;3719387;3719418;3801692;3826137;3801723;3748101;3748087;3706309;3765884;3749282;3826114;3826120;3421050;3719192;3801798;3706232;3724750;3748064;3724827;3747136;3749276;3724483;3719039;3965235;3724595;3711871;3801769;3724520;3747998;3801829;3421044;3706195;3706278;2206349;3747053;3421038;3826060;3801858;3747165;3765743;3938244;3705273;3711888;3765789;3746935;3718689;3747254;3747225;3758306;3938474;3718962;3724566;3765855;3747024;3668603;3758499;3965399;3792970;3668566;3938445;3747283;3826054;3746906;3801628;3748058;3709242;3758453;3748029;3746993;3747099;3965330;3746964;3758401;3965407;3747194;3765938;3884620;3718991;3965324;3718726;3719068;3758335;3719559;3965258;3765921;3884577;3765967;3965229;3724690;3749299;3719097;2206272;3719588;3938310;3758252;3765890;3965264;3719358;3719513;3668655;3884732;3826108;3758281;3758430;3724454;3749081;3801657;3938356;2206444;3719269;3719298;3706321;3938385;3719329;2206527;3668514;3421021;2206409
GLIPIZIDE	3154488;3395418;3395393;3152727;3154465;3152704;3489705
GLYCEROL	3347750;3392704;3347721;3026939;3129645;3391573;3236275;3347744;3392696;3391544;3026916;3347773;3391567;3387034;3387040;3741429;3387028;3347796;3319541;3701789;3741412;3347833;3129668;3236298;3319587;3347810;3347856;3347804;3319624;3347767;3347827;3236281;3166712;3129680;3026922;3347738;3236542
GOLIMUMAB	3973074;3973097
GRISEOFULVINE	3046445;3828892
HALOFANTRINE	3308833
HALOPERIDOL	3047189;3208250;3263510;3047143;3047172;3269932
HEPARINE CALCIQUE	3016763;3187855;3016786;3187861;5524311;3133109
HEPARINE SODIQUE	3048450;5542579;3224792
HYDROCHLOROTHIAZIDE	3939663;3891962;3668187;3892022;3989299;2183217;4930919;4169144;3939717;2172432;3664918;3804911;3939634;3722780;4930931;3668201;2178305;3730012;3630931;4179013;3939769;3854599;3854257;5811223;3854205;3989336;3830794;3664901;3899722;4160278;3909461;4997533;3822168;3990724;3927424;3973714;2178357;3921539;3985278;3896563;3860909;3909478;3720278;4913996;2183246;3469737;3720002;3939752;2178216;2205048;4914033;3955952;3892393;4179160;2194385;3801545;2172395;3825540;4920909;3720479;3863411;3801551;2205605;3854518;3845790;3943570;3724359;3716696;3901560;3852732;3631072;3922361;3846080;3689025;3617445;4158985;3502452;2210492;3890626;2216916;4179214;3738462;3873125;4156012;3317329;3722202;3735162;3664686;3887191;3790327;2215928;4915802;3985315;4160226;3884494;3927482;2178328;2746927;3952250;3607872;3291297;3899685;3664887;4184764;2178245;3939775;3854487;3468318;3720195;3973275;2178274;3881633;3836992;5818604;3780748;3884519;3502423;3777752;2210463;4900232;3714119;3619094;3722194;3869939;3960108;3922390;3616842;3973306;3502392;3991853;3627461;3874320;2197604;3863380;3768279;3636419;4156058;3668218;3852703;4151368;2205143;2194416;3902826;3836124;3898125;2205031;3640585;4934283;2197567;3899248;4934337;2205410;3672906;3385207;3627998;3857310;3722142;3875667;4981963;3768285;4159967;3815731;5818550;2183358;3993728;4915736;2183306;3502446;3609397;3960054;3842751;3729552;2197780;2219174;3943618;3854671;3845933;3722136;3874308;2172478;3720172;2161807;3974895;3880289;3927364;2183335;3836294;3922527;3899751;3714450;3664841;3864385;2161954;3664858;2216945;3768262;4151351;4184787;4981934;3991735;3628035;3922645;3922674;3780783;3714467;3664628;2216738;3990664;2205114;3703989;3790379;3864327;3739496;2210552;3631379;3615305;3955923;5818538;3799630;3989425;3603816;3620826;3976486;3991770;2161753;3518625;3854719;3703995;3960232;4160025;3990629;3719996;3863285;3722113;2183281;3992284;3291280;3463195;3468407;3992108;3822464;3636299;3468488;3891703;3992143;3854530;4184853;3880378;3993734;3842662;3964922;3973660;4916345;2209000;3668193;3878967;2205060;3991907;3815665;4196201;2162126;3458975;3463226;3921516;3715372;3875673;3636371;4915280;3973364;3636454;3714177;3605347;3865522;3723905;3854659;3364079;4159045;3468287;3960290;3777686;3636514;3715395;3185135;2209046;3922332;3722107;4155863;3777692;3724394;2161919;3713781;4920625;3502481;3353130;3716621;2216804;5820311;3668170;2172225;4155917;3609813;3815702;3774883;3902803;3723880;3973335;3603897;3777663;3790882;3869891;3722225;3502475;3715596;3502469;3822369;4179088;3964862;3469861;2209081;4184729;4196170;3458952;3869661;3555721;3922616;3595502;4920677;3220937;2205433;3765542;3973803;4178953;3714094;2172509;2216885;3899260;4982129;3608558;3149240;3922579;3714208;3983546;3631899;3777657;3992249;3825913;3993243;2216856;3960338;3459070;3892424;4184741;4982098;3768782;4916256;2176967;4158040;3636336;2172840;3939781;3876276;2172811;3825505;3715188;3939798;3887305;4934538;2210523;3801522;2215986;2197751;3854346;3869738;3965011;3636626;3487965;3790480;3857362;3881656;3716673;3922450;3722219;5818567;3669028;4157997;3869684;4160143;3668164;3519205;3302405;3555684;3459058;3364748;3713953;3728653;3459006;3850029;3609776;3869632;3801539;3960189;3617391;3468459;3745232;3459029;2172969;3825965;3952178;3790451;3502386;3735185;3973855;3696290;3714088;3922496;3777746;3869767;3887251;3956064;3956058;4151374;2209112;3863262;3881662;4989522;3815582;4934490;3989230;3768747;3993579;3876098;3729440;4184824;4160083;4920849;4915216;3899716;3865516;3669011;3922421;3417798;3815777;3882851;3848989;3765536;3715610;3927312;2162072;3989543;3964968;3921545;3837307;3729428;2216000;3774848;4151380;3896149;3990747;4156294;3768351;3636572;4179125;2172917;3989112;3989141;3976492;3964767;3742400;3790416;3468376;4982052;3922295;3989201;3869715;3715165;3733186;3037357;3815636;3847990;3790528;3703908;3719660;3985350;4158577;3989052;4989485;3714929;3703937;3878594;4168972;3990799;4156331;2181804;3742127;4156199;3607547;3469909;3798151;3605436;3719654;4158637;4156147;4982081;3801574;3801568
HYDROCORTISONE	3260606;3260612;3051475;3214115;3217510;3051417
HYDROMORPHONE	3489088;3489065;3489042;3489013
HYDROQUINIDINE	3240087;3240070
HYDROTALCITE	3438010
HYDROXYCARBAMIDE	3810194;4158057;3051268
HYDROXYPROGESTERONE	3052003;3086605;3086597
HYDROXYZINE	3008120;3008143;3008114;3008137
IBUPROFENE	3686498;3558317;3583137;3519375;3866183;3582327;3364062;3921812;3961421;3765631;3975587;3827941;3608133;3484168;3625189;3606074;3388565;3835892;4997645;3993266;3971508;3975558;3665579;3323152;3368634;3619295;3841421;3605301;3675247;3368195;3625172;3625137;3647593;3817115;3398612;4157796;3436258;4990100;3396435;3525105;3681420;3432510;3606045;3608127;4990117;3602828;3816297;3475092;4989717;4176032;3295935;4175920;3571513;3676057;3366581;3769304;3593041;3898059;3571507;3606016;3830707;4992961;3935033;3550652;3356594;4925367;4992317;3766398;3769333;3321590;3416847;4992955;4992837;3349453;3665616;3608191;4925373;3659573;3766530;4196968;4992323;3828662;4986630;4992613;3770342;4992843;4992636;3513467;3832706;3658303;3584591;3622570;3665622;4170420;3847837;3295941;3340848;3791841;3749922;3749916;3519990
IMATINIB	3622498;3622475
IMIDAPRIL	3508472;3508383
IMIPENEM	3833700;5816031
IMIPRAMINE	3106779;3106762
INDAPAMIDE	3144372;3883916;3883945;3382746;3578142;3298046
INDINAVIR	3421015
INDOMETACINE	3052575;3052581;3265897;3052569;3231013
INDORAMINE	3292606;3963791
INSULINE	3656942;3651809;3692240;3772200;3651181;3651198;3651206
INSULINE ASPARTE	3525921;3525909;3552740
INSULINE ASPARTE ISOPHANE BIPHASIQUE	3716532;3567664;3702429;3549525
INSULINE GLARGINE	3546320;3565197;3651494;3772298;3594649
INSULINE HUMAINE RECOMBINANTE	3611827;3611916;3612011;3364814;3355755;3611833;3612028;3612092;3611997;3352343;3487882;3548081;3403879;3487824;3548129;3548201;3403945;3352308;3548164;3493428;3403856;3548046;3493552;3352366
INSULINE HUMAINE RECOMBINANTE ISOPHANE	3355755;3611833;3612028;3612092;3611997;3352343;3487882;3548081;3403879;3487824;3548129;3548201;3403945;3352308;3548164;3493428
INSULINE HUMAINE RECOMBINANTE ISOPHANE BIPHASIQUE	3355755;3611833;3612028;3612092;3611997;3487824;3548129;3548201;3403945;3352308;3548164;3493428;3612034
INSULINE HUMAINE RECOMBINANTE ZINC	3611827;3611916;3612011;3364814
INSULINE LISPRO	3443057;3851106;3494741;3851098;3494451;3437393;3851112;3494468;3414268;3494735
IOBITRIDOL	3377107;3377113;3377627;3377142;3691476;3377722;3377136;3691565;3377053;3377159;3691542;3377679;3377099;3377685;3691447;3377188;3377716
IODIXANOL	3520148;3520237;3520332;3520183;3520088;3520289;3384685;3520125;3520390;3384633
IOHEXOL	3531838;3334983;3268200;3531850;3531809;3460110;3531867;3268217;3531815;3268192;3268157;3460050;3334977;3531376;3268105;3531896;3460073
IOMEPROL	3379394;3379276;3379299;3546952;3399132;3379448;3616196;3379514;3546923;3546969;3619800;3379477;3546946;3379193;3619817;3616173;3379537;3379566;3379247;3379543;3399126;3551120;3379359;3379454;3379371;3379112;3551114;3399103;3379431;3379460
IOPAMIDOL	3245966;3245943;3245883;3245972;3335304;3245908;3245914;3335296;3398368;3245937;3398351;3245920;3245877;3255522
IOPROMIDE	3309040;5595587;3309034;3309086;3309100;3309057;3986349;3986332;3760378;3309028;3760384;3309063;3986289
IOVERSOL	3408322;3408380;3327664;3327701;3327629;3408368;3327693;3408629;3407883;3327687;3408687;3407914;3408664
IPRATROPIUM	3658036;3658131;3671516;3408204;3607978;3658059;4912956;3894009;3269872;3408210;3671539;3608699;3657309;3382568;3657315;3657841;3658177;3658094;3894067;3300257
IPRONIAZIDE	3688250
IRBESARTAN	3428833;3801479;3640510;3428773;4180306;5818604;5818610;2178305;2178274;3801485;2216419;4180186;3861760;3959080;2205048;2178245;2186546;2216299;3801545;3950794;3411873;2178216;3860281;3990434;2216626;2216945;2205031;3868118;3640585;3950736;3469861;3862191;3409184;3927855;3801551;3801462;3959051;2186606;2216164;2216170;3950564;2216566;5818550;2205060;2178357;2216916;3764407;2205410;3867900;3469737;3927890;2216141;2216158;5818567;3768061;3801456;5818538;2216394;3432929;4180418;3770170;3958962;4180358;2205605;2216856;2205143;2178328;3487965;3950386;4180476;3991416;3763690;4187828;3801516;3863204;2216885;3958991;2186724;3927743;2216715;3801491;2186865;2216129;3759412;2216135;2206013;2216448;3801568;2216796;3950908;2216804;2216514;3801522;2216738;3927944;3950222;3990960;3991474;3801539;3927795;3991445;2205114;2216230;2219174;3951049;3950452;2216307;3716621;3951109;3440024;2216193;2186799;3801574;2186664;5822540;3958904;2181804;3761018;3958867;3927996;3469909;2205433
ISONIAZIDE	3477978;3477961;3299353;3295409
ISOSORBIDE	3279304;3286480;3279296;3286505
ISOTHIPENDYL	3171794
ISOTRETINOINE	3976316;3611483;3905227;3611477;3578389;3581256;3678843;3581316;3676034;3578366;3581167;3678808;3578403;3581368;3826019;3581204
ISRADIPINE	3739390;3333357;3739378;3334109;3333340;3334078
ITRACONAZOLE	3346288;3450206;3773145;3672941;3816802
IVABRADINE	3716762;3716791
JOSAMYCINE	3394117;3236016;3230628;3230700;3230692
KAOLIN	3043085;3308690;3325688;3216841;3527765
KAOLIN LOURD	3043085;3308690;3325688;3216841;3527765
KETOPROFENE	3737497;3282594;3466035;3783451;3611170;3533091;3601639;3515733;3429212;3315833;3852465;3852459;3392816;3308106;3967441;3746674;2214337;3967228;3967493;3681880;3998022;3392791;3138905;3752249;3784829;3627455;3330206;4993920;3254132;3852471;3179293
KETOTIFENE	3230350;3369214;3515851;3244895
LABETALOL	3226526;3748236
LACIDIPINE	3731299;3334701;3334747;3731313
LAMIVUDINE	3610928;3519671;3414529;3657284;3414512;3584881;3466271
LAMOTRIGINE	3762621;3792711;3928257;3389843;3696781;3791143;3696717;3808607;3762779;3762822;3791338;3808493;3727889;3414736;3545817;3928211;5815439;3762727;3881136;3808398;3414713;3389866;3808033;3787176;3696841;3448356;3928300;3928174;3850992;3791226;3851081;3786797;3882733;3787029;3791284;3851069;3851046;3881099;3881030;3928352
LANREOTIDE	3572895;3572872;3572889;3373523
LANSOPRAZOLE	3811288;3810975;3460191;3811294;3811845;3811650;3811934;3454842;3584237;3811673;3814269;3810998;4949899;4900976;3811756;3813985;3447569;3811779;3441733;3441064;3814016;3810490;3811868;3782776;3687167;3447552;3811963;4949853;4949876;3810610;3810633;3782718;4949824;3811851;3810969;3811302;3810484;3811207;3923981;3454902;3923969;3819350;3818652;3811325;3782782;3782730;3430356;4949801;3811986;3782859;3819373;3811213;3811704;3588169;3811727;4190210;3923952;3923998;3810403;3817434;3687173;3811957;4900462;3441041;3810509;4900752;3817492;3811710;4900479;3811360;3782753;3810395;3817517;3687144;3430416;3687138;3814430;3817411;3819433;3811822;2179055;3441549;3811791;3819404;4900769;3782799;3810857;3445518;3782836;3810886;3782813;3441555;3441578;3782807;3811816;3811354;3819410;3818675
LANTHANE	3692702;3692754;3692837;3692903
LAPATINIB	4170182;4170199;4916434;3837951
